DataID,Publication date,Titile,Author#1,Author#2,Author#3,Author#4,Author#5,Author#6,Author#7,Author#8,Author#9,Author#10,Author#11
Digital Data 2010-0012,April 01  2010,Surficial Geology of the George Lake Area (NTS 84D/SE) (GIS data  point features),Atkinson  N.,Paulen  R.C.,,,,,,,,,
Digital Data 2010-0011,April 01  2010,Surficial Geology of the George Lake Area (NTS 84D/SE) (GIS data  line features),Atkinson  N.,Paulen  R.C.,,,,,,,,,
Digital Data 2010-0010,April 01  2010,Surficial Geology of the George Lake Area (NTS 84D/SE) (GIS data  polygon features),Atkinson  N.,Paulen  R.C.,,,,,,,,,
Digital Data 2010-0009,April 16  2010,Static-Water-Level Elevation Contours  in the Grand Centre  Sand River  Ethel Lake and Muriel Lake Formations  and Empress Formation Unit 1 and 3  in the Cold Lake-Beaver River Drainage Basin (GIS data  line feature),Michael  K.,,,,,,,,,,
Digital Data 2010-0008,February 25  2010,Preglacial and Glacial Formation Extents in the Cold Lake-Beaver River Drainage Basin (GIS data  polygon features),Andriashek  L.D.,,,,,,,,,,
Digital Data 2010-0007,March 15  2010,Precambrian Geology of Northeastern Alberta:  40 Argon/39 Argon Geochronological Data  NTS 74M  74L and part of 74E(GIS data  point features),Energy Resources Conservation BoardAlberta Geological Survey,,,,,,,,,,
Digital Data 2010-0006,March 15  2010,Precambrian Geology of Northeastern Alberta  NTS 74M  74L and part of 74E  mylonitized zones (GIS data  polygon features),Pana  D.I.,,,,,,,,,,
Digital Data 2010-0005,March 15  2010,Precambrian Geology of Northeastern Alberta  NTS 74M  74L and part of 74E  structures (GIS data  line features),Pana  D.I.,,,,,,,,,,
Digital Data 2010-0004,March 15  2010,Precambrian Geology of Northeastern Alberta: Uranium-Lead Geochronological Data  NTS 74M  74L and part of 74E (GIS data  point features),Energy Resources Conservation BoardAlberta Geological Survey,,,,,,,,,,
Digital Data 2010-0003,March 15  2010,Precambrian Geology of Northeastern Alberta  NTS 74M  74L and part of 74E  bedrock contacts (GIS data  line features),Pana  D.I.,,,,,,,,,,
Digital Data 2010-0002,March 15  2010,Precambrian Geology of Northeastern Alberta  NTS 74M  74L and part of 74E (GIS data  polygon features),Pana  D.I.,,,,,,,,,,
Digital Data 2010-0001,June 07  2013,Lithium Groundwater and Formation-Water Geochemical Data (tabular data  tab delimited format),Eccles  D.R.,Jean  G.M.,,,,,,,,,
Digital Data 2009-0070,January 12  2010,Sand and Gravel Site Investigations  McLennan Area  Alberta (NTS 83N) (GIS data  point features),Budney  H.D.,,,,,,,,,,
Digital Data 2009-0069,July 27  2009,CBM Potential of the Alberta Plains - Calculated Gas Content of the Mannville Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0068,July 22  2009,CBM Potential of the Alberta Plains - Vitrinite Reflectance of the McKay Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0067,July 22  2009,CBM Potential of the Alberta Plains - Vitrinite Reflectance of the Taber Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0066,July 22  2009,CBM Potential of the Alberta Plains - Vitrinite Reflectance of the Lethbridge Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0065,July 22  2009,CBM Potential of the Alberta Plains - Vitrinite Reflectance of the Drumheller Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0064,July 22  2009,CBM Potential of the Alberta Plains - Vitrinite Reflectance of the Carbon Thompson Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0063,July 22  2009,CBM Potential of the Alberta Plains - Vitrinite Reflectance of the Ardley Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0062,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas In Place of the Mannville Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0061,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas In Place of the McKay Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0060,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas In Place of the Taber Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0059,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas In Place of the Lethbridge Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0058,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas In Place of the Drumheller Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0057,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas In Place of the Carbon Thompson Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0056,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas In Place of the Ardley Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0055,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas Content of the McKay Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0054,July 22  2009,CBM Potential of the Alberta Plains - Calculated Gas Content of the Taber Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0053,March 25  2010,CBM Potential of the Alberta Plains - Calculated Gas Content of the Lethbridge Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0052,July 21  2009,CBM Potential of the Alberta Plains - Calculated Gas Content of the Drumheller Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0051,July 21  2009,CBM Potential of the Alberta Plains - Calculated Gas Content of the Carbon Thompson Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0050,July 21  2009,CBM Potential of the Alberta Plains - Calculated Gas Content of the Ardley Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0049,July 21  2009,CBM Potential of the Alberta Plains - Depth to Top of the Mannville Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0048,July 21  2009,CBM Potential of the Alberta Plains - Depth to Top of the McKay Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0047,July 21  2009,CBM Potential of the Alberta Plains - Depth to Top of the Taber Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0046,March 25  2010,CBM Potential of the Alberta Plains - Depth to Top of the Lethbridge Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0045,July 21  2009,CBM Potential of the Alberta Plains - Depth to Top of the Drumheller Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0044,July 21  2009,CBM Potential of the Alberta Plains - Depth to Top of the Carbon Thompson Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0043,July 21  2009,CBM Potential of the Alberta Plains - Net Coal Thickness of the Mannville Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0042,July 21  2009,CBM Potential of the Alberta Plains - Net Coal Thickness of the McKay Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0041,July 21  2009,CBM Potential of the Alberta Plains - Net Coal Thickness of the Taber Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0040,July 21  2009,CBM Potential of the Alberta Plains - Net Coal Thickness of the Lethbridge Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0039,July 21  2009,CBM Potential of the Alberta Plains - Net Coal Thickness of the Drumheller Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0038,July 21  2009,CBM Potential of the Alberta Plains - Net Coal Thickness of the Carbon Thompson Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0037,July 21  2009,CBM Potential of the Alberta Plains - Depth to Top of the Ardley Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0036,July 21  2009,CBM Potential of the Alberta Plains - Net Coal Thickness of the Ardley Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0035,July 21  2009,CBM Potential of the Alberta Plains - McKay Coal Zone Boundary (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0034,July 21  2009,CBM Potential of the Alberta Plains - Mannville Coal Zone Boundary (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0033,July 21  2009,CBM Potential of the Alberta Plains - Lethbridge Coal Zone Boundary (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0032,March 25  2010,CBM Potential of the Alberta Plains - Carbon Thompson Coal Zone Boundary (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0031,March 25  2010,CBM Potential of the Alberta Plains - Drumheller Coal Zone Boundary (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0030,March 25  2010,CBM Potential of the Alberta Plains - Taber Coal Zone Boundary (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0029,July 21  2009,CBM Potential of the Alberta Plains - Ardley Coal Zone Boundary (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0028,July 21  2009,CBM Potential of the Alberta Plains - Isopach of the Taber Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0027,July 21  2009,CBM Potential of the Alberta Plains - Isopach of the McKay Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0026,July 21  2009,CBM Potential of the Alberta Plains - Isopach of the Mannville Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0025,July 21  2009,CBM Potential of the Alberta Plains - Isopach of the Lethbridge Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0024,July 21  2009,CBM Potential of the Alberta Plains - Isopach of the Carbon Thompson Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0023,July 21  2009,CBM Potential of the Alberta Plains - Isopach of the Drumheller Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0022,December 15  2011,CBM Potential of the Alberta Plains - Isopach of the Ardley Coal Zone (GIS dataset),Berhane  H.,,,,,,,,,,
Digital Data 2009-0021,October 26  2009,Metallic Mineral Occurrences of the Exposed Precambrian Shield in Northeastern Alberta  NTS 74E  L  M (GIS data  point features),Langenberg  C.W.,Eccles  D.R.,,,,,,,,,
Digital Data 2009-0020,October 26  2009,Locations of Radioactive Sites on the Alberta Shield  NTS 74L  M (GIS data  point features),Pana  D.I.,,,,,,,,,,
Digital Data 2009-0019,October 26  2009,Locations of Uraniferous Boulder Fields and Swamps along the North Shore of Lake Athabasca  NTS 74M (GIS data  polygon features),Pana  D.I.,,,,,,,,,,
Digital Data 2009-0018,October 26  2009,Locations of Uraniferous Boulders  Outcrops and Pits along the North Shore of Lake Athabasca  NTS 74L M (GIS data  point features),Pana  D.I.,,,,,,,,,,
Digital Data 2009-0017,January 15  2010,Uranium Potential of Southern Alberta: 2006-2008 Fieldwork Results (tabular data  tab delimited format),Matveeva  T.M.,,,,,,,,,,
Digital Data 2009-0016,February 16  2010,Sandstone-Hosted Uranium Potential of Alberta: Study of Oil and Gas Well Logs (tabular data  tab delimited format),Matveeva  T.M.,Kafle  B.,,,,,,,,,
Digital Data 2009-0015,March 30  2009,Surficial Geology of the South Whitesand River Area  Alberta (NTS 84O/S) (GIS data  permafrost polygon features),Mougeot  C.,,,,,,,,,,
Digital Data 2009-0014,March 30  2009,Surficial Geology of the South Whitesand River Area  Alberta (NTS 84O/S) (GIS data  point features),Mougeot  C.,,,,,,,,,,
Digital Data 2009-0013,March 30  2009,Surficial Geology of the South Whitesand River Area  Alberta (NTS 84O/S) (GIS data  line features),Mougeot  C.,,,,,,,,,,
Digital Data 2009-0012,March 30  2009,Surficial Geology of the South Whitesand River Area  Alberta (NTS 84O/S) (GIS data  polygon features),Mougeot  C.,,,,,,,,,,
Digital Data 2009-0011,March 25  2009,Surficial Geology of the Cleardale Area (NTS 84D/SW) (GIS data  line features),Atkinson  N.,Paulen  R.C.,,,,,,,,,
Digital Data 2009-0010,March 25  2009,Surficial Geology of the Cleardale Area (NTS 84D/SW) (GIS data  point features),Atkinson  N.,Paulen  R.C.,,,,,,,,,
Digital Data 2009-0009,March 25  2009,Surficial Geology of the Cleardale Area (NTS 84D/SW) (GIS data  polygon features),Atkinson  N.,Paulen  R.C.,,,,,,,,,
Digital Data 2009-0008,March 05  2009,Surficial Geology of the Cameron Hills Area (NTS 84N/NW) (GIS data  line features),Geological Survey of CanadaPaulen  R.C.,Plouffe  A.,,,,,,,,,
Digital Data 2009-0007,March 05  2009,Surficial Geology of the Cameron Hills Area (NTS 84N/NW)(GIS data  point features),Geological Survey of CanadaPaulen  R.C.,Plouffe  A.,,,,,,,,,
Digital Data 2009-0006,March 05  2009,Surficial Geology of the Cameron Hills Area (NTS 84N/NW) (GIS data  polygon features),Geological Survey of CanadaPaulen  R.C.,Plouffe  A.,,,,,,,,,
Digital Data 2009-0005,March 05  2009,Surficial Geology of the Cameron Hills Area (NTS 84N/NW)(GIS data  permafrost  polygon features),Geological Survey of CanadaPaulen  R.C.,Plouffe  A.,,,,,,,,,
Digital Data 2009-0003,July 13  2009,Compilation of Alberta Research Councils Hydrogeology Maps (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2009-0002,January 23  2009,Locations of Alberta Springs (GIS data  point features),Stewart  S.A.,,,,,,,,,,
Digital Data 2009-0001,April 16  2009,Geochemical Data from the Bad Heart Formation  Northwestern Alberta (tabular data  tab delimited format),Kafle  B.,,,,,,,,,,
Digital Data 2008-0883,November 28  2008,Surficial Geology  Rocky Mountain House  NTS 83B (GIS data  line features),Boydell  A.N.,Bayrock  L.A.,Reimchen  T.H.F.,,,,,,,,
Digital Data 2008-0882,November 28  2008,Surficial Geology  Rocky Mountain House  NTS 83B (GIS data  polygon features),Boydell  A.N.,Bayrock  L.A.,Reimchen  T.H.F.,,,,,,,,
Digital Data 2008-0881,November 28  2008,Surficial Geology of the Wapiti Map Area (NTS 83L) (GIS data  polygon features),Andriashek  L.D.,,,,,,,,,,
Digital Data 2008-0880,November 28  2008,Surficial Geology of the Fort Chipewyan Area  Alberta  NTS 74L (GIS data  polygon features),Bayrock  L.A.,,,,,,,,,,
Digital Data 2008-0879,November 28  2008,Surficial Geology of the Fort Chipewyan Area  Alberta  NTS 74L (GIS data  point features),Bayrock  L.A.,,,,,,,,,,
Digital Data 2008-0878,December 01  2008,Surficial Geology of the Fort Chipewyan Area  Alberta  NTS 74L (GIS data  line features),Bayrock  L.A.,,,,,,,,,,
Digital Data 2008-0877,November 26  2008,Surficial Geology of the Fort Chipewyan Area  Alberta  NTS 74L (GIS data  drumlin features),Bayrock  L.A.,,,,,,,,,,
Digital Data 2008-0876,November 17  2008,Surface materials of the Calgary urban area - geological contacts (GIS data  line features),Moran  S.R.,,,,,,,,,,
Digital Data 2008-0875,November 17  2008,Surface materials of the Calgary urban area - veneer material (GIS data  polygon overlay features),Moran  S.R.,,,,,,,,,,
Digital Data 2008-0874,November 17  2008,Surface materials of the Calgary urban area (GIS data  polygon features),Moran  S.R.,,,,,,,,,,
Digital Data 2008-0873,November 17  2008,Surface materials of the Calgary urban area - linear landforms (GIS data  line features),Moran  S.R.,,,,,,,,,,
Digital Data 2008-0872,December 08  2008,Wolf Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0871,December 08  2008,Wizard Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0870,December 08  2008,Winefred Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0869,December 08  2008,Willow Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0868,December 08  2008,Wildhorse Lakes  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0867,December 08  2008,Whitney Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0866,December 08  2008,Whitefish Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0865,December 08  2008,Watt Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0864,December 08  2008,Wakomao Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0863,December 08  2008,Wabamun Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0862,December 08  2008,Vincent Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0861,December 08  2008,Victor Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0860,December 08  2008,Utikuma Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0859,December 08  2008,Upper Mann Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0858,December 08  2008,Upper Kananaskis Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0857,December 08  2008,Twin Lakes  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0856,December 08  2008,Tucker Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0855,December 08  2008,Touchwood Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0854,December 08  2008,Telford Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0853,December 08  2008,Sylvan Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0852,December 08  2008,Swan Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0851,December 08  2008,Sturgeon Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0850,December 08  2008,Strubel Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0849,December 08  2008,Steele Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0848,December 08  2008,Star Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0847,December 08  2008,Square Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0846,December 08  2008,Spring Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0845,December 08  2008,South Heart Reservoir  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0844,December 08  2008,Socomy Mobil Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0843,December 08  2008,Snipe Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0842,December 08  2008,Smoky Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0841,December 08  2008,Smoke Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0840,December 08  2008,Skeleton Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0839,December 08  2008,Shiningbank Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0838,December 08  2008,Seibert Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0837,December 08  2008,Lac Sante  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0836,December 08  2008,Sang Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0835,December 08  2008,Sandy Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0834,December 08  2008,Samson Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0833,December 08  2008,Rock Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0832,December 08  2008,Reita Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0831,December 08  2008,Red Deer Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0830,December 08  2008,Pinehurst Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0829,December 08  2008,Pine Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0828,December 08  2008,Pigeon Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0827,December 08  2008,Pierre Greys Lakes  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0826,December 08  2008,Peanut Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0825,December 08  2008,Payne Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0824,December 08  2008,Outpost Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0823,December 08  2008,Oliver Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0822,December 08  2008,Obed Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0821,December 08  2008,North Buck Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0820,December 08  2008,Lac la Nonne  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0819,December 08  2008,Nipisi Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0818,December 08  2008,Nakamun Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0817,December 08  2008,Muriel Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0816,December 08  2008,Muir Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0815,December 08  2008,Mud Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0814,December 08  2008,Moose Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0813,December 08  2008,Mitsue Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0812,December 08  2008,Mitchell Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0811,December 08  2008,Miquelon Lakes  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0810,December 08  2008,Minnie Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0809,December 08  2008,Mink Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0808,December 08  2008,Lake Minnewanka  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0807,December 08  2008,Millers Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0806,December 08  2008,Mere Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0805,December 08  2008,Medicine Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0804,February 03  2009,McLeod Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0803,December 08  2008,May Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0802,December 08  2008,Mary Gregg Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0801,December 08  2008,Marie Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0800,December 08  2008,Manatokan Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0799,December 08  2008,Magee Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0798,December 08  2008,Lac Saint Cyr  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0797,December 08  2008,Lower Mann Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0796,December 08  2008,Lower Kananaskis Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0795,December 08  2008,Long Island Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0794,December 08  2008,Little Beaver Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0793,December 08  2008,Lesser Slave Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0792,December 08  2008,Lee Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0791,December 08  2008,Lawrence Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0790,December 08  2008,Laurier Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0789,December 08  2008,Kinky Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0788,December 08  2008,Keho Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0787,December 08  2008,Kehiwin Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0786,December 08  2008,Joseph Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0785,December 08  2008,Johnnys Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0784,December 08  2008,Jessie Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0783,December 08  2008,Jarvis Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0782,December 08  2008,Jack Fish Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0781,December 08  2008,Isle Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0780,December 08  2008,Island Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0779,December 08  2008,Ironwood Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
Digital Data 2008-0778,December 08  2008,Iosegun Lake  Alberta - Boundary (GIS data  polygon features),Alberta Environment,,,,,,,,,,
